,start time,lock time,close time,epoch,Locked price,Close price,Change,Total BNB,Up BNB,Down BNB,Win/Lose,Summary,Moving Average,Oscillator
0,1653601264,1653601564,1653601864,3371,311.3,310.9,-0.4,15.3138,7.7175,7.7575,0,,,
1,1653601570,1653601870,1653602170,3372,310.9,311.2,0.3,15.7211,7.8211,8.0654,1,SELL,STRONG SELL,NEUTRAL
2,1653601876,1653602176,1653602476,3373,311.2,311.1,-0.1,15.2673,7.6794,7.7486,0,SELL,SELL,NEUTRAL
3,1653602182,1653602482,1653602782,3374,311.1,313.1,2.0,15.0658,7.6866,7.5378,1,SELL,SELL,NEUTRAL
4,1653602488,1653602788,1653603088,3375,313.1,313.3,0.2,15.445,7.8458,7.7618,1,BUY,STRONG BUY,NEUTRAL
5,1653602794,1653603094,1653603394,3376,313.3,313.1,-0.2,15.3839,7.8221,7.7238,0,BUY,STRONG BUY,SELL
6,1653603100,1653603400,1653603700,3377,313.1,313.0,-0.1,15.1851,7.6725,7.6725,0,BUY,STRONG BUY,NEUTRAL
7,1653603409,1653603709,1653604009,3378,313.0,312.8,-0.2,15.1046,7.6368,7.6268,0,BUY,STRONG BUY,NEUTRAL
8,1653603714,1653604014,1653604314,3379,312.8,313.0,0.2,15.5702,7.9422,7.7919,1,BUY,STRONG BUY,NEUTRAL
9,1653604020,1653604320,1653604620,3380,313.0,311.7,-1.3,15.4677,7.8152,7.8152,0,BUY,STRONG BUY,BUY
10,1653604329,1653604629,1653604929,3381,311.7,311.2,-0.5,15.4435,7.7137,7.8924,0,SELL,STRONG SELL,SELL
11,1653604632,1653604932,1653605232,3382,311.2,311.5,0.3,15.1852,7.6725,7.6725,1,SELL,STRONG SELL,NEUTRAL
12,1653604938,1653605238,1653605538,3383,311.5,310.5,-1.0,15.5774,7.8391,7.9022,0,SELL,STRONG SELL,NEUTRAL
13,1653605244,1653605544,1653605844,3384,310.5,309.9,-0.6,15.9016,7.6937,8.3753,0,SELL,STRONG SELL,NEUTRAL
14,1653605568,1653605868,1653606168,3385,309.9,310.4,0.5,15.2205,7.6824,7.6983,1,STRONG SELL,STRONG SELL,SELL
15,1653605874,1653606174,1653606474,3386,310.4,311.1,0.7,15.6008,7.8614,7.9036,1,SELL,STRONG SELL,SELL
16,1653606180,1653606480,1653606780,3387,311.1,309.0,-2.1,15.1801,7.5829,7.7569,0,SELL,STRONG SELL,NEUTRAL
17,1653606486,1653606786,1653607086,3388,309.0,309.9,0.9,15.785,7.6375,8.3137,1,STRONG SELL,STRONG SELL,SELL
18,1653606793,1653607093,1653607393,3389,309.9,309.0,-0.9,15.5204,7.6632,8.0205,0,SELL,STRONG SELL,NEUTRAL
19,1653607102,1653607402,1653607702,3390,309.0,309.3,0.3,16.2075,8.561,7.8171,1,SELL,STRONG SELL,NEUTRAL
20,1653607410,1653607710,1653608010,3391,309.3,309.5,0.2,15.0296,7.5761,7.6117,1,SELL,STRONG SELL,BUY
21,1653607718,1653608018,1653608318,3392,309.5,309.2,-0.3,15.439,7.7881,7.8133,0,SELL,STRONG SELL,NEUTRAL
22,1653608024,1653608324,1653608624,3393,309.2,308.9,-0.3,15.6527,8.213,7.6044,0,SELL,STRONG SELL,NEUTRAL
23,1653608329,1653608629,1653608929,3394,308.9,307.3,-1.6,15.6665,7.8494,7.9821,0,STRONG SELL,STRONG SELL,SELL
24,1653608637,1653608937,1653609237,3395,307.3,306.3,-1.0,15.6704,7.8554,7.98,0,STRONG SELL,STRONG SELL,SELL
25,1653608941,1653609241,1653609541,3396,306.3,303.5,-2.8,15.0598,7.6042,7.6142,0,STRONG SELL,STRONG SELL,SELL
26,1653609247,1653609547,1653609847,3397,303.5,304.6,1.1,15.1279,7.5939,7.6932,1,STRONG SELL,STRONG SELL,SELL
27,1653609553,1653609853,1653610153,3398,304.6,303.1,-1.5,14.9855,7.5516,7.5916,0,SELL,STRONG SELL,BUY
28,1653609859,1653610159,1653610459,3399,303.1,304.6,1.5,15.3468,7.6675,7.8409,1,SELL,STRONG SELL,NEUTRAL
29,1653610162,1653610462,1653610762,3400,304.6,305.6,1.0,15.1552,7.6574,7.6574,1,SELL,STRONG SELL,NEUTRAL
30,1653610468,1653610768,1653611068,3401,305.6,306.1,0.5,15.4637,7.937,7.6895,1,SELL,STRONG SELL,NEUTRAL
31,1653610774,1653611074,1653611374,3402,306.1,306.9,0.8,16.6483,7.7352,9.0884,1,SELL,STRONG SELL,SELL
32,1653611080,1653611380,1653611680,3403,306.9,306.4,-0.5,15.6528,7.8007,8.0169,0,SELL,SELL,NEUTRAL
33,1653611386,1653611686,1653611986,3404,306.4,306.4,0.0,0.0,7.8064,8.2063,0,SELL,STRONG SELL,NEUTRAL
34,1653611692,1653611992,1653612292,3405,306.4,303.5,-2.9,15.2127,7.6914,7.6814,0,SELL,STRONG SELL,NEUTRAL
35,1653611998,1653612298,1653612598,3406,303.5,303.1,-0.4,15.5701,7.5855,8.1485,0,SELL,STRONG SELL,NEUTRAL
36,1653612304,1653612604,1653612904,3407,303.1,303.1,0.0,0.0,8.2146,7.7237,0,STRONG SELL,STRONG SELL,NEUTRAL
37,1653612611,1653612911,1653613211,3408,303.1,303.1,0.0,0.0,7.8168,7.7498,0,SELL,STRONG SELL,NEUTRAL
38,1653612917,1653613217,1653613517,3409,303.1,302.3,-0.8,15.1428,7.6511,7.6511,0,SELL,STRONG SELL,NEUTRAL
39,1653613223,1653613523,1653613823,3410,302.3,301.4,-0.9,15.9119,8.2193,7.8601,0,SELL,STRONG SELL,SELL
40,1653613531,1653613831,1653614131,3411,301.4,301.2,-0.2,15.5381,8.1175,7.5841,0,SELL,STRONG SELL,NEUTRAL
41,1653613835,1653614135,1653614435,3412,301.2,300.6,-0.6,15.175,7.7174,7.6174,0,SELL,STRONG SELL,BUY
42,1653614141,1653614441,1653614741,3413,300.6,300.1,-0.5,15.4242,7.7534,7.8332,0,SELL,STRONG SELL,BUY
43,1653614448,1653614748,1653615048,3414,300.1,299.8,-0.3,16.4274,8.8034,7.7969,0,SELL,STRONG SELL,BUY
44,1653614753,1653615053,1653615353,3415,299.8,300.2,0.4,15.1877,7.6553,7.6922,1,SELL,STRONG SELL,BUY
45,1653615060,1653615360,1653615660,3416,300.2,301.6,1.4,15.4293,7.8084,7.7834,1,SELL,STRONG SELL,BUY
46,1653615366,1653615666,1653615966,3417,301.6,303.5,1.9,16.5926,8.9605,7.8068,1,SELL,STRONG SELL,NEUTRAL
47,1653615672,1653615972,1653616272,3418,303.5,302.6,-0.9,15.3416,7.8492,7.6539,0,NEUTRAL,SELL,NEUTRAL
48,1653615978,1653616278,1653616578,3419,302.6,301.1,-1.5,15.1781,7.6204,7.7174,0,SELL,STRONG SELL,NEUTRAL
49,1653616284,1653616584,1653616884,3420,301.1,300.3,-0.8,16.7365,9.1221,7.7905,0,SELL,STRONG SELL,BUY
50,1653616587,1653616887,1653617187,3421,300.3,300.1,-0.2,15.4887,7.812,7.8397,0,SELL,STRONG SELL,NEUTRAL
51,1653616893,1653617193,1653617493,3422,300.1,299.3,-0.8,14.9956,7.5642,7.5892,0,SELL,STRONG SELL,BUY
52,1653617199,1653617499,1653617799,3423,299.3,297.6,-1.7,16.7344,7.6735,9.2371,0,SELL,STRONG SELL,NEUTRAL
53,1653617505,1653617805,1653618105,3424,297.6,301.6,4.0,15.4971,7.6801,7.9801,1,SELL,STRONG SELL,NEUTRAL
54,1653617811,1653618111,1653618411,3425,301.6,300.5,-1.1,15.9345,7.8026,8.2996,0,SELL,STRONG SELL,BUY
55,1653618117,1653618417,1653618717,3426,300.5,300.4,-0.1,15.2435,7.6177,7.7863,0,SELL,STRONG SELL,NEUTRAL
56,1653618423,1653618723,1653619023,3427,300.4,301.1,0.7,15.3674,7.7646,7.7646,1,SELL,SELL,NEUTRAL
57,1653618729,1653619029,1653619329,3428,301.1,300.1,-1.0,15.1897,7.6803,7.6692,0,SELL,STRONG SELL,BUY
58,1653619035,1653619335,1653619635,3429,300.1,298.9,-1.2,15.03,7.5966,7.5916,0,SELL,STRONG SELL,NEUTRAL
59,1653619341,1653619641,1653619941,3430,298.9,299.6,0.7,15.5057,7.6529,8.016,1,SELL,STRONG SELL,NEUTRAL
60,1653619647,1653619947,1653620247,3431,299.6,300.6,1.0,15.1622,7.6484,7.6734,1,SELL,STRONG SELL,NEUTRAL
61,1653619953,1653620253,1653620553,3432,300.6,301.1,0.5,16.0955,7.8358,8.4292,1,SELL,STRONG SELL,NEUTRAL
62,1653620259,1653620559,1653620859,3433,301.1,301.1,0.0,0.0,10.2224,7.5524,0,NEUTRAL,SELL,NEUTRAL
63,1653620565,1653620865,1653621165,3434,301.1,302.1,1.0,15.3354,7.7084,7.7884,1,NEUTRAL,NEUTRAL,NEUTRAL
64,1653620871,1653621171,1653621471,3435,302.1,302.0,-0.1,15.7808,7.84,8.1069,0,NEUTRAL,NEUTRAL,NEUTRAL
65,1653621177,1653621477,1653621777,3436,302.0,302.7,0.7,14.9864,7.5221,7.6221,1,NEUTRAL,NEUTRAL,BUY
66,1653621483,1653621783,1653622083,3437,302.7,301.5,-1.2,16.5592,7.7329,9.0006,0,NEUTRAL,NEUTRAL,SELL
67,1653621789,1653622089,1653622389,3438,301.5,303.5,2.0,15.0976,7.5308,7.7257,1,SELL,SELL,NEUTRAL
68,1653622095,1653622395,1653622695,3439,303.5,302.8,-0.7,15.2989,7.7808,7.6791,0,BUY,BUY,BUY
69,1653622401,1653622701,1653623001,3440,302.8,302.3,-0.5,14.9511,7.5542,7.5542,0,NEUTRAL,BUY,SELL
70,1653622707,1653623007,1653623307,3441,302.3,302.9,0.6,15.0971,7.6065,7.6495,1,SELL,SELL,NEUTRAL
71,1653623015,1653623315,1653623615,3442,302.9,302.9,0.0,0.0,7.6802,7.8195,0,NEUTRAL,BUY,NEUTRAL
72,1653623321,1653623621,1653623921,3443,302.9,302.7,-0.2,15.5804,7.9204,7.824,0,NEUTRAL,BUY,NEUTRAL
73,1653623627,1653623927,1653624227,3444,302.7,301.0,-1.7,15.2135,7.6868,7.6868,0,NEUTRAL,NEUTRAL,NEUTRAL
74,1653623933,1653624233,1653624533,3445,301.0,300.7,-0.3,15.3336,7.5909,7.9041,0,STRONG SELL,STRONG SELL,NEUTRAL
75,1653624239,1653624539,1653624839,3446,300.7,301.8,1.1,15.0388,7.5986,7.5986,1,STRONG SELL,STRONG SELL,SELL
76,1653624545,1653624845,1653625145,3447,301.8,302.9,1.1,15.3935,7.7853,7.7703,1,SELL,SELL,NEUTRAL
77,1653624851,1653625151,1653625451,3448,302.9,302.4,-0.5,15.481,7.9016,7.7424,0,BUY,BUY,BUY
78,1653625157,1653625457,1653625757,3449,302.4,300.6,-1.8,15.0468,7.6827,7.5225,0,BUY,BUY,NEUTRAL
79,1653625463,1653625763,1653626063,3450,300.6,298.9,-1.7,15.5516,7.8895,7.8258,0,STRONG SELL,STRONG SELL,SELL
80,1653625769,1653626069,1653626369,3451,298.9,298.9,0.0,0.0,7.708,7.6607,0,STRONG SELL,STRONG SELL,SELL
81,1653626075,1653626375,1653626675,3452,298.9,298.5,-0.4,14.9829,7.5703,7.5703,0,STRONG SELL,STRONG SELL,SELL
82,1653626381,1653626681,1653626981,3453,298.5,297.6,-0.9,15.7865,8.2263,7.7263,0,SELL,STRONG SELL,NEUTRAL
83,1653626687,1653626987,1653627287,3454,297.6,298.1,0.5,15.4508,7.5567,8.0567,1,SELL,STRONG SELL,NEUTRAL
84,1653626993,1653627293,1653627593,3455,298.1,297.6,-0.5,15.2254,7.6928,7.6928,0,SELL,STRONG SELL,BUY
85,1653627299,1653627599,1653627899,3456,297.6,297.1,-0.5,15.9532,7.5456,8.5756,0,SELL,STRONG SELL,NEUTRAL
86,1653627607,1653627907,1653628207,3457,297.1,299.0,1.9,15.5346,7.9421,7.756,1,SELL,STRONG SELL,NEUTRAL
87,1653627913,1653628213,1653628513,3458,299.0,298.1,-0.9,15.2356,7.7449,7.6511,0,SELL,STRONG SELL,NEUTRAL
88,1653628219,1653628519,1653628819,3459,298.1,298.4,0.3,16.2912,7.7249,8.7377,1,SELL,STRONG SELL,NEUTRAL
89,1653628525,1653628825,1653629125,3460,298.4,298.0,-0.4,15.2197,7.7006,7.6793,0,SELL,STRONG SELL,NEUTRAL
90,1653628831,1653629131,1653629431,3461,298.0,298.3,0.3,16.154,7.7686,8.5554,1,SELL,STRONG SELL,NEUTRAL
91,1653629137,1653629437,1653629737,3462,298.3,297.2,-1.1,16.1612,8.6656,7.6656,0,SELL,STRONG SELL,BUY
92,1653629443,1653629743,1653630043,3463,297.2,292.4,-4.8,15.7671,8.1013,7.8317,0,STRONG SELL,STRONG SELL,NEUTRAL
93,1653629749,1653630049,1653630349,3464,292.4,292.1,-0.3,16.4306,7.757,8.8466,0,SELL,STRONG SELL,NEUTRAL
94,1653630055,1653630355,1653630655,3465,292.1,293.6,1.5,15.9773,8.5925,7.5529,1,SELL,STRONG SELL,BUY
95,1653630361,1653630661,1653630961,3466,293.6,293.0,-0.6,14.9384,7.5528,7.5428,0,SELL,STRONG SELL,NEUTRAL
96,1653630664,1653630964,1653631264,3467,293.0,293.1,0.1,15.0988,7.5839,7.6739,1,SELL,STRONG SELL,NEUTRAL
97,1653630972,1653631272,1653631572,3468,293.1,292.6,-0.5,16.1435,7.6049,8.7085,0,SELL,STRONG SELL,NEUTRAL
98,1653631278,1653631578,1653631878,3469,292.6,293.9,1.3,15.2409,7.7507,7.6507,1,SELL,STRONG SELL,BUY
99,1653631584,1653631884,1653632184,3470,293.9,293.6,-0.3,16.0423,8.3056,7.9056,0,SELL,STRONG SELL,NEUTRAL
100,1653631893,1653632193,1653632493,3471,293.6,292.5,-1.1,15.4475,7.81,7.8,0,SELL,STRONG SELL,SELL
101,1653632199,1653632499,1653632799,3472,292.5,293.6,1.1,16.2761,7.6496,8.7978,1,STRONG SELL,STRONG SELL,SELL
102,1653632505,1653632805,1653633105,3473,293.6,293.5,-0.1,16.4007,8.7767,7.7967,0,SELL,STRONG SELL,BUY
103,1653632811,1653633111,1653633411,3474,293.5,297.1,3.6,15.4963,7.5268,8.1326,1,SELL,STRONG SELL,NEUTRAL
104,1653633118,1653633418,1653633718,3475,297.1,295.6,-1.5,17.7799,7.7528,10.2142,0,NEUTRAL,NEUTRAL,BUY
105,1653633424,1653633724,1653634024,3476,295.6,296.6,1.0,15.3161,7.7386,7.7386,1,SELL,SELL,NEUTRAL
106,1653633730,1653634030,1653634330,3477,296.6,296.2,-0.4,15.3658,7.8043,7.7233,0,SELL,SELL,NEUTRAL
107,1653634036,1653634336,1653634636,3478,296.2,297.2,1.0,16.3142,7.7062,8.7797,1,SELL,SELL,NEUTRAL
108,1653634342,1653634642,1653634942,3479,297.2,297.1,-0.1,15.5503,7.657,8.057,0,NEUTRAL,NEUTRAL,NEUTRAL
109,1653634648,1653634948,1653635248,3480,297.1,297.4,0.3,15.2339,7.6971,7.6971,1,NEUTRAL,NEUTRAL,NEUTRAL
110,1653634954,1653635254,1653635554,3481,297.4,298.3,0.9,15.3527,7.7383,7.776,1,NEUTRAL,NEUTRAL,SELL
111,1653635260,1653635560,1653635860,3482,298.3,298.1,-0.2,15.2843,7.7226,7.7226,0,BUY,BUY,BUY
112,1653635566,1653635866,1653636166,3483,298.1,298.5,0.4,16.187,8.2448,8.1126,1,BUY,BUY,NEUTRAL
113,1653635872,1653636172,1653636472,3484,298.5,300.4,1.9,15.6707,8.1678,7.6678,1,BUY,BUY,NEUTRAL
114,1653636178,1653636478,1653636778,3485,300.4,300.5,0.1,14.9927,7.5852,7.5652,1,BUY,BUY,BUY
115,1653636484,1653636784,1653637084,3486,300.5,300.0,-0.5,15.0212,7.5897,7.5897,0,NEUTRAL,BUY,SELL
116,1653636787,1653637087,1653637387,3487,300.0,299.4,-0.6,15.7489,7.6207,8.2939,0,NEUTRAL,BUY,SELL
117,1653637093,1653637393,1653637693,3488,299.4,299.3,-0.1,16.8219,9.171,7.828,0,BUY,BUY,NEUTRAL
118,1653637399,1653637699,1653637999,3489,299.3,298.9,-0.4,15.5664,7.9346,7.7956,0,BUY,BUY,NEUTRAL
119,1653637703,1653638003,1653638303,3490,298.9,298.5,-0.4,15.5865,7.9483,7.8022,0,BUY,BUY,NEUTRAL
120,1653638009,1653638309,1653638609,3491,298.5,296.9,-1.6,16.0564,7.7713,8.4541,0,NEUTRAL,NEUTRAL,NEUTRAL
121,1653638315,1653638615,1653638915,3492,296.9,297.5,0.6,15.8354,8.4133,7.5888,1,SELL,STRONG SELL,NEUTRAL
122,1653638621,1653638921,1653639221,3493,297.5,299.0,1.5,15.4748,7.8219,7.8158,1,SELL,STRONG SELL,SELL
123,1653638927,1653639227,1653639527,3494,299.0,299.3,0.3,16.0775,8.6211,7.6256,1,BUY,BUY,NEUTRAL
124,1653639233,1653639533,1653639833,3495,299.3,298.0,-1.3,15.2777,7.6567,7.7818,0,BUY,BUY,NEUTRAL
125,1653639539,1653639839,1653640139,3496,298.0,298.0,0.0,0.0,7.9332,8.5334,0,SELL,STRONG SELL,NEUTRAL
126,1653639847,1653640147,1653640447,3497,298.0,298.6,0.6,15.6056,7.815,7.9549,1,SELL,STRONG SELL,NEUTRAL
127,1653640153,1653640453,1653640753,3498,298.6,298.5,-0.1,15.9096,8.4081,7.6689,0,SELL,STRONG SELL,SELL
128,1653640459,1653640759,1653641059,3499,298.5,298.0,-0.5,16.0087,7.7771,8.4001,0,NEUTRAL,BUY,NEUTRAL
129,1653640765,1653641065,1653641365,3500,298.0,298.8,0.8,15.5346,7.5786,8.1195,1,SELL,STRONG SELL,SELL
130,1653641071,1653641371,1653641671,3501,298.8,297.2,-1.6,16.0552,8.5989,7.6253,0,BUY,BUY,NEUTRAL
131,1653641377,1653641677,1653641977,3502,297.2,297.2,0.0,0.0,8.561,8.3658,0,STRONG SELL,STRONG SELL,NEUTRAL
132,1653641683,1653641983,1653642283,3503,297.2,296.8,-0.4,15.4357,7.6107,7.9876,0,SELL,STRONG SELL,NEUTRAL
133,1653641989,1653642289,1653642589,3504,296.8,297.5,0.7,15.3122,7.7367,7.7367,1,SELL,STRONG SELL,SELL
134,1653642295,1653642595,1653642895,3505,297.5,297.6,0.1,15.27,7.7154,7.7154,1,SELL,STRONG SELL,NEUTRAL
135,1653642601,1653642901,1653643201,3506,297.6,298.4,0.8,15.4088,7.7855,7.7855,1,SELL,STRONG SELL,NEUTRAL
136,1653642907,1653643207,1653643507,3507,298.4,298.4,0.0,0.0,7.6037,8.3846,0,NEUTRAL,SELL,NEUTRAL
137,1653643213,1653643513,1653643813,3508,298.4,299.0,0.6,15.0622,7.6104,7.6104,1,BUY,BUY,NEUTRAL
138,1653643519,1653643819,1653644119,3509,299.0,299.4,0.4,15.4236,7.7975,7.7885,1,BUY,BUY,BUY
139,1653643825,1653644125,1653644425,3510,299.4,299.9,0.5,15.384,7.773,7.773,1,BUY,BUY,NEUTRAL
140,1653644131,1653644431,1653644731,3511,299.9,299.6,-0.3,15.3046,7.7328,7.7328,0,BUY,STRONG BUY,NEUTRAL
141,1653644437,1653644737,1653645037,3512,299.6,299.6,0.0,0.0,7.6959,7.7207,0,BUY,BUY,SELL
142,1653644743,1653645043,1653645343,3513,299.6,301.1,1.5,15.1962,7.6781,7.6781,1,BUY,BUY,NEUTRAL
143,1653645049,1653645349,1653645649,3514,301.1,300.7,-0.4,15.4711,7.8245,7.8095,0,BUY,STRONG BUY,NEUTRAL
144,1653645355,1653645655,1653645955,3515,300.7,300.0,-0.7,15.143,7.6512,7.6512,0,BUY,STRONG BUY,NEUTRAL
145,1653645661,1653645961,1653646261,3516,300.0,300.8,0.8,15.4089,7.573,7.998,1,BUY,BUY,NEUTRAL
146,1653645967,1653646267,1653646567,3517,300.8,300.6,-0.2,15.6135,7.6889,8.0889,0,BUY,STRONG BUY,BUY
147,1653646273,1653646573,1653646873,3518,300.6,300.4,-0.2,15.4677,8.0153,7.6153,0,BUY,STRONG BUY,NEUTRAL
148,1653646579,1653646879,1653647179,3519,300.4,299.7,-0.7,15.2992,7.7301,7.7301,0,BUY,STRONG BUY,NEUTRAL
149,1653646885,1653647185,1653647485,3520,299.7,299.6,-0.1,14.9635,7.5605,7.5605,0,NEUTRAL,BUY,NEUTRAL
150,1653647191,1653647491,1653647791,3521,299.6,299.7,0.1,15.3033,7.7322,7.7322,1,BUY,BUY,NEUTRAL
151,1653647497,1653647797,1653648097,3522,299.7,300.5,0.8,15.5063,7.8348,7.8348,1,BUY,BUY,NEUTRAL
152,1653647803,1653648103,1653648403,3523,300.5,300.1,-0.4,15.4817,7.8223,7.8223,0,BUY,STRONG BUY,SELL
153,1653648109,1653648409,1653648709,3524,300.1,299.8,-0.3,15.2556,7.5581,7.8581,0,BUY,STRONG BUY,SELL
154,1653648415,1653648715,1653649015,3525,299.8,298.8,-1.0,15.3886,7.8086,7.742,0,NEUTRAL,SELL,NEUTRAL
155,1653648718,1653649018,1653649318,3526,298.8,299.2,0.4,15.0982,7.6136,7.6436,1,SELL,SELL,NEUTRAL
156,1653649024,1653649324,1653649624,3527,299.2,299.4,0.2,15.2086,7.8343,7.5343,1,STRONG SELL,STRONG SELL,SELL
157,1653649333,1653649633,1653649933,3528,299.4,300.2,0.8,15.409,7.7706,7.8006,1,SELL,SELL,NEUTRAL
158,1653649639,1653649939,1653650239,3529,300.2,299.2,-1.0,15.6592,7.832,7.992,0,BUY,STRONG BUY,NEUTRAL
159,1653649945,1653650245,1653650545,3530,299.2,299.4,0.2,15.5773,7.9706,7.7706,1,SELL,STRONG SELL,SELL
160,1653650251,1653650551,1653650851,3531,299.4,301.5,2.1,15.1209,7.6455,7.6345,1,SELL,STRONG SELL,NEUTRAL
161,1653650557,1653650857,1653651157,3532,301.5,301.5,0.0,0.0,7.5619,7.8019,0,BUY,STRONG BUY,BUY
